lon,lat,temperature
116.5,31.75,578.01024883675
116.75,31.75,595.79815408662
117,31.75,615.06310778639
117.25,31.75,624.38680827429
117.5,31.75,621.57742533126
117.75,31.75,609.75425200768
118,31.75,600.31745912564
118.25,31.75,599.34324322577
118.5,31.75,595.82890396097
118.75,31.75,588.73537834168
119,31.75,582.12092413285
119.25,31.75,584.99917595433
119.5,31.75,595.06295129601
119.75,31.75,604.05163415077
120,31.75,605.08836724508
120.25,31.75,615.5213736204
120.5,31.75,626.13704205079
120.75,31.75,632.7414839438
121,31.75,637.14361631816
121.25,31.75,636.47428856073
121.5,31.75,627.08297586209
107,32,508.36718250596
107.25,32,529.27865239181
107.5,32,574.68248075803
107.75,32,623.2127337324
108,32,674.2894354698
108.25,32,724.30538451873
108.5,32,770.72127735728
108.75,32,810.74724777203
109,32,804.57371087512
109.25,32,827.94069311151
109.5,32,805.87382334585
109.75,32,775.24404953501
110,32,764.16880186609
111.75,32,516.80173361892
112,32,490.32888664478
112.25,32,458.5741383194
112.5,32,431.55755054964
112.75,32,417.17023756596
113.5,32,402.6001097044
113.75,32,404.80776589293
114,32,426.19009224107
114.25,32,437.45460412068
114.5,32,461.72709259453
114.75,32,478.17600524494
115,32,503.53749973068
115.25,32,510.45034402147
115.5,32,525.73235498775
115.75,32,540.97647986322
116,32,559.96645174539
116.25,32,580.88659722367
116.5,32,604.35879551554
116.75,32,619.9812013628
117,32,639.28143660133
117.25,32,645.43712236376
117.5,32,637.28385598804
117.75,32,622.34879116443
118,32,610.26272096314
118.25,32,603.06081728153
118.5,32,599.44716198809
118.75,32,590.02304560687
119,32,587.63445175994
119.25,32,587.47168757257
119.5,32,597.54119050803
119.75,32,601.77048907769
120,32,608.34946449069
120.25,32,617.84562600938
120.5,32,627.12285958642
120.75,32,631.71578976843
121,32,635.18452652455
121.25,32,632.43621136306
121.5,32,614.41418989814
107,32.25,521.27670869336
107.25,32.25,535.70311128216
107.5,32.25,581.39971698397
107.75,32.25,632.23839082173
108,32.25,692.38724743054
108.25,32.25,741.67813025306
108.5,32.25,792.87552043037
108.75,32.25,837.04081935697
109,32.25,852.88176941851
109.25,32.25,828.32076615616
